labels, track_id, stationary, pos_x, pos_y, pos_z, dim_x, dim_y, dim_z, yaw, vehicle_state, intended_actions, potential_destination,right turn/left turn/go forward/u turn/lane change not possible/none of the above
Car,0ec55a89-0353-4221-b883-cca09785f9e7,dynamic,19.99800000200085,18.211434432347612,0.17263136628876796,1.717,4.2,1.588,-2.796028483870394,Stopped,None,None,-1.-1.-1.-1.-1.-1
Car,13f222fd-065c-4745-b441-44dd25566cbb,dynamic,57.10397610659988,-39.499230403110914,-4.7878406449512445,1.86,4.43,1.86,-1.5832494532444583,Other moving,None,None,-1.-1.-1.-1.-1.-1
Car,1b4434f1-db4f-4372-87aa-0fe03b4ba498,dynamic,10.11281862365697,36.73950307776468,2.223370352107292,1.815,4.741,2.193,-2.813498100936767,Stopped,None,None,-1.-1.-1.-1.-1.-1
Car,1e095ea8-494b-438a-9590-aadad8c8f966,dynamic,16.912941021616057,16.635530581988352,0.7262089507067135,1.847,4.2,2.16,-2.778558997439024,Stopped,None,None,-1.-1.-1.-1.-1.-1
Car,2404b21d-9135-40fe-944e-0b9d2e0685bf,dynamic,17.86234630022549,-11.289228590002505,-1.6983115798850268,1.753,4.641,1.781,0.3060908042698912,Stopped,None,None,0.0.0.0.0.1
Car,3166238b-3403-4def-ac85-38b3b575b087,dynamic,14.644747302136587,23.12843832818829,1.025567014320615,1.747,4.2,1.736,-2.796028483870394,Stopped,None,None,-1.-1.-1.-1.-1.-1
Truck,3815ffa1-aecc-423b-a0a5-fa36569cfe9d,dynamic,2.160953152649668,32.56016038550827,2.368715430058857,2.27,4.934,3.056,0.28862096557593825,Other moving,None,None,-1.-1.-1.-1.-1.-1
Car,39fa0968-6430-40e5-842f-16be854563e6,dynamic,12.751911549822609,17.073831664215124,0.5926017047013641,1.826,4.494,1.848,-2.778558997439024,Stopped,None,None,-1.-1.-1.-1.-1.-1
Car,44d14800-ec4e-4add-a25b-2be7c1fc5bf0,dynamic,30.068205825365986,-36.25179376210208,-4.355521823960208,1.86,4.468,1.86,-1.5832494532444583,Other moving,None,None,-1.-1.-1.-1.-1.-1
Pedestrian,4ab64275-275c-4f58-8ed5-39837a4a265d,dynamic,68.76321096752642,8.40259373326859,-1.274561996007405,0.759,0.938,1.555,-1.5223101219018151,None,Moving,None,-1.-1.-1.-1.-1.-1
Bicyclist,5745115c-5e71-4cac-9fb5-29b95b2c87be,dynamic,36.08651727523074,5.173206403222445,-0.5729119319294522,0.734,1.987,1.799,2.4975901669596596,Stopped,None,None,0.0.0.0.0.1
Car,72162541-bcac-4fd4-ae43-e0460b6d4c16,dynamic,44.73256205210445,-0.6629748612823875,-1.0462447578964553,1.884,3.788,1.86,-1.6041759554542427,Other moving,None,None,0.0.1.0.0.0
Car,87667b9e-1304-4dab-b772-3b059c00c2b0,dynamic,12.433796241768555,29.684288884529415,1.553075205327385,1.917,5.059,2.113,-2.778558997439024,Stopped,None,None,-1.-1.-1.-1.-1.-1
Car,879140ef-d742-4d2f-b29b-795079245270,dynamic,37.48346855157798,-39.29008029898989,-4.03092881569082,1.86,4.18,1.86,-1.6006881764098027,Other moving,None,None,-1.-1.-1.-1.-1.-1
Pedestrian,8f62a01b-8bfe-4bde-87f7-52bb205d4cb5,dynamic,58.763567826956425,8.035203401780052,-0.8352427435498555,0.879,0.776,1.817,-1.5519545948513596,None,Moving,None,-1.-1.-1.-1.-1.-1
Pedestrian,9abd7efb-f4b6-4a67-b269-188213a22d79,dynamic,26.539268786081358,9.286221858688192,-0.0878973449994025,0.76,1.187,1.842,1.5626879358184789,None,Crossing the road,None,0.0.0.0.0.0
Bicyclist,aa9109e4-98ab-407d-bdef-007f21511603,dynamic,33.08898802063765,5.855727801751412,-0.4131718041950818,0.87,1.91,1.701,-2.949280880169495,Stopped,None,None,0.0.0.0.0.1
Car,c5c2bb9d-a801-48d6-9942-ba3b07664b43,dynamic,46.641379242095105,-36.935613723883925,-4.421416883653065,1.86,4.367,1.86,-1.6006881764098027,Other moving,None,None,-1.-1.-1.-1.-1.-1
Bicyclist,c872c9fa-8d03-4d66-9adf-7bf038fb21d5,dynamic,26.174183207329442,22.399066540107192,0.9676057962411593,0.673,1.784,1.712,-2.931810934402822,Stopped,None,None,-1.-1.-1.-1.-1.-1
Truck,cd180a7d-646d-43c1-9bb9-b75fa7fbaf64,dynamic,18.381031576192548,-38.210272681352684,-3.8964070318785273,2.285,6.698,2.35,-1.6073489725883985,Other moving,None,None,-1.-1.-1.-1.-1.-1
Car,e8395eb0-46b8-4e5b-8d49-4b82cc6d2d0b,dynamic,1.8255410254834672,-35.11300007518169,-4.177895980942979,1.86,4.18,1.86,-1.569298672642347,Other moving,None,None,-1.-1.-1.-1.-1.-1
Car,fa721ea5-e4c2-418f-ac35-606faa8517a0,dynamic,23.42166406476867,-35.65452047308753,-4.099669829898024,1.86,4.18,1.911,-1.6006881764098027,Other moving,None,None,-1.-1.-1.-1.-1.-1
Road_Entrance_Exit,1c23e0f5-74a2-448c-8212-992f8df0e447,dynamic,158.2310167755218,-39.471819543600496,0.6650117454028303,1,1,1,-1.576045597482819,None,None,None,0.0.0.0.0.0
Road_Entrance_Exit,2cf22eb9-04a7-4909-8509-a73f803da8ba,dynamic,163.68819729396415,-3.4450768929774442,5.7861136556279344,1,1,1,-1.6120487882988077,None,None,None,0.0.0.0.0.0
Road_Entrance_Exit,7572d37d-74f3-40f4-8543-c17eaddc3df1,dynamic,-44.048810070480364,-36.576368530295184,-1.6040540493512074,1,1,1,-1.6063401153530819,None,None,None,-1.-1.-1.-1.-1.-1
Road_Entrance_Exit,d334159f-a007-41e9-8c2b-daf8a5c3d850,dynamic,-43.131939262566284,-2.7987453890111342,-0.18177846178488144,1,1,1,-1.6063401153530819,None,None,None,0.0.0.0.0.0
Road_Entrance_Exit,e0c423ce-9c0c-4d9e-8df7-030c0ef9f523,dynamic,24.06752109286179,-51.150063821853784,-4.99797101868091,1,1,1,0.3106959511596134,None,None,None,-1.-1.-1.-1.-1.-1
Road_Entrance_Exit,e93b90e5-b1f4-4422-ac52-a841d452f11d,dynamic,3.195377859149218,40.187032963004,1.9945801427270071,1,1,1,0.3775142948200499,None,None,None,0.0.0.0.0.0
